Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Control Number),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Dev Team Approval),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Sprint,Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Systems Team Approval),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Test Team Approval),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Verification Method),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment,Comment,Comment
Update Cyber Services Watch Item Slides,SSWCYBER-3146,105062,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,High,Done,dcatapan,dcatapan,ereyburn,30/Jun/26 12:00 PM,14/Jul/26 2:13 PM,18/Sep/26 3:20 PM,14/Jul/26 2:13 PM,,PI 19,,,,,,SSW PHC Cyber ,,,,0,"Update cyber services rish slides to now be a watch item format based off the last rish board discussions.

Also, need to roll in some of the incomplete mitigation steps of the 0020 Cyber risk to include burning down the TBDs. Also, need to include the requirements aspect of the Cyber services.",,ereyburn,,,,";14/Jul/26 2:13 PM;dcatapan;14400",,,,,,,14400,0,14400,100%,14400,0,14400,,,,,,SSWCYBER-2583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,,SSWCYBER-1984,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i090k3:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 19.1,,,,,,,0.5,,,,,100%,15/Jul/26 12:00 AM,01/Jul/26 12:00 AM,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Deploy AAP Service Account,SSWCYBER-3145,105059,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,eraymond,dcatapan,ereyburn,30/Jun/26 11:56 AM,20/Jul/26 12:44 PM,18/Sep/26 3:20 PM,14/Jul/26 10:17 AM,,PI 19,,,,,,B30 Lab,,,,0,"Update all servers to utilize new AAP service account. Then, update all AAP jobs to use the new service account. We will need to make an update to GitLab server configurations for SSW servers. We should create a small Ansible playbook to deploy changes to all other servers.",,eraymond,ereyburn,,,";14/Jul/26 10:14 AM;eraymond;28800",";14/Jul/26 10:17 AM;eraymond;60",,,,,,28800,0,28860,100%,28800,0,28860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eraymond,,,,,SSWCYBER-2722,,,In Progress,,,,,,Sprint,,,,,"Posted on: Tue Jul 14 10:17:23 EDT 2026
The concept was proven for this service account. The ability to ssh and use sudo privileges on the other servers can be done however, due to limitations with Ansible and the dual home issue, this won't work right out of the box currently with Ansible. Once the dual home issue is resolved we can revisit this service account, but until then we will need to continue to use the local service account to run the templates in Ansible. ",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i09t14:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 19.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"14/Jul/26 10:17 AM;eraymond;The concept was proven for this service account. The ability to ssh and use sudo privileges on the other servers can be done however, due to limitations with Ansible and the dual home issue, this won't work right out of the box currently with Ansible. Once the dual home issue is resolved we can revisit this service account, but until then we will need to continue to use the local service account to run the templates in Ansible. ;;;",,,,,
Cyber Sharepoint ,SSWCYBER-3144,105058,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,jcabral7,dcatapan,ereyburn,30/Jun/26 11:53 AM,06/Jul/26 9:07 AM,18/Sep/26 3:20 PM,06/Jul/26 9:07 AM,,PI 19,,,,,,SSW PHC Cyber ,,,,0,"Our current USB signout sheet for SSW DTA USBs is in paper form in the Cyber cube cabinet. We want to move this into own sharepoint for everyone to access. Work to be done, create sharepoint for the cyber team, link all of our ""support"" pages and create a MS form for the usb form ",,ereyburn,jcabral7,,,"sharepoint is live and sent out to sw team ;06/Jul/26 9:07 AM;jcabral7;18000",,,,,,,14400,0,18000,125%,14400,0,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Confluence page setup and advertised to stakeholders,,,,,,,,,jcabral7,,,,,SSWCYBER-1984,,,In Progress,,,,,,Sprint,,,,,"Posted on: Mon Jul 06 09:07:54 EDT 2026
sharepoint is live and sent out to sw team ",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0a1xc:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 19.1,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"01/Jul/26 11:33 AM;jcabral7;Upping this to .5 as we have a digital 0365 forms capability and our own cyber sharepoint page. Creating the form will take 15 minutes, but to upload to sharepoint and have data to store/log in sharepoint will take a fair amount of config efforts that is not clearly defined.

This work will also be a WFH task.;;;","06/Jul/26 9:07 AM;jcabral7;sharepoint is live and sent out to sw team ;;;",,,,
FST UIS: Gather HW/SW Inventory and Prepare for work with D664 on UIS: Part  2,SSWCYBER-3143,105007,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,ereyburn,ereyburn,ereyburn,30/Jun/26 10:19 AM,20/Aug/26 10:37 AM,18/Sep/26 3:20 PM,12/Aug/26 12:03 PM,,PI 19,,,,,,SSW PHC Cyber ,,,,0,Get comprehensive list of HW and SW inventory. Begin to gather proper CMRF's and other documentation to work with D664,,ereyburn,,,,"Collected info from Q2 cyber data calls. Discussed on FST WG meeting what info we need in addition to the data calls such as SIm/STIM, ROW Workstation, etc;02/Jul/26 4:19 PM;ereyburn;1800","Corresponded with Allen Ly and SW on getting HW/SW inventory for FST;04/Aug/26 9:35 AM;ereyburn;1800","Meeting with D417 on the network diagram;04/Aug/26 9:36 AM;ereyburn;1800","Scheduled meeting with Joe and Rachel to di;11/Aug/26 10:53 AM;ereyburn;900",,,,14400,8100,6300,43%,14400,8100,6300,,,,,,,,,,,,,SSWCYBER-2765,,,,,SSWCYBER-3523,,,,,,,,,,,,,Get comprehensive list of HW and SW inventory.,,,,,,,,,ereyburn,,,,,SSWCYBER-2715,,,Done,,,,,,Sprint,,,,,"Posted on: Wed Aug 12 12:03:38 EDT 2026
Unblocking since Allen Ly sent the estimated HW",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|hzwv9z:0i00000000y5001i0001i30590001i00000n7",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 19.1,SSWCYBER Sprint 19.2,SSWCYBER Sprint 19.3,,,,,0.5,,,,,,,,,,,,,,,,,,,,ereyburn,,,0.0,0.0,,0.0,,,0.0,,,,,"28/Jul/26 4:10 PM;ereyburn;Setting up meeting with D664 to see if the path forward can be that we do not need FST to be connected to UIS008 for cyber management, since it is tactical and could be on the bldg 30 baseline prior to moving to the FST setup. Needs to spill to next sprint;;;","11/Aug/26 10:42 AM;ereyburn;Working with Allen Ly in the Systems team to get the inventory for the Hardware. Blocked because I need the HW inventory before this can be completed. The SW team said that it will just be from the PaaS ISO SBOM.    Have a meeting schedule with D664, minus Amanda Coutu on 8/14;;;","12/Aug/26 12:03 PM;ereyburn;Unblocking since Allen Ly sent the estimated HW;;;",,,
Diagnose Switch 2 issues,SSWCYBER-3142,104778,Task,Cancelled,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Won't Do,jcabral7,jcabral7,jcabral7,29/Jun/26 11:56 AM,20/Jul/26 12:44 PM,18/Sep/26 3:20 PM,01/Jul/26 12:48 PM,,PI 19,,,,,,Environment Management,,,,0,"Switch 2 is unreachable from all servers, including servers that are directly wired to it. Switch 2 is a non arista switch unit. Research possible capability issues with arista switches, troubleshoot and review configuration is standard across all other switches.",,dcatapan,jcabral7,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,SSWCYBER-2722,,,In Progress,,,,,,Sprint,,,,,"Posted on: Wed Jul 01 12:48:54 EDT 2026
OBE: Work captured in https://192.168.3.34/jira1/browse/SSWCYBER-2771",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0a10k:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"29/Jun/26 11:57 AM;jcabral7;Ticket is blocked until we can either find Toughbook 1 which has putty on it
or install putty on toughbook 2.. which requires EXE install and potential license config?;;;","29/Jun/26 1:54 PM;jcabral7;Andrew Dowdell, will get lab manager info;;;","01/Jul/26 12:48 PM;dcatapan;OBE: Work captured in https://192.168.3.34/jira1/browse/SSWCYBER-2771;;;",,,
ACAS QOL improvements,SSWCYBER-3141,104776,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,jcabral7,jcabral7,jcabral7,29/Jun/26 11:47 AM,10/Sep/26 12:48 PM,18/Sep/26 3:20 PM,10/Sep/26 12:48 PM,,PI 19,,,,,,B30 Lab,Environment Management,,,0,"Purpose of this task is to implement quality of life improvements on the application.

*Fix STIG that auto logs out session after 15 minutes of inactivity. Document issue as a open stig item with justificaiton to why it neededs to open i.e thinlinc 

* Have dashboard show all scan types reports like STIG COMPLIANCE.VULNERABILITY,Host detection, malware and etc.
* Connect idm to ACAS/Security Center so all members of the SSW segment can access the tool as a user. Create groups for the cyber team to be admins of the tool with iDM.
* Any other quality of  life improvements you can think of, just build out additional tasks in this epic.",,jcabral7,,,,";09/Sep/26 5:47 PM;jcabral7;7200",";10/Sep/26 12:48 PM;jcabral7;10800",,,,,,28800,10800,18000,62%,28800,10800,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,SSWCYBER-3135,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0a104:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 19.6,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Build out ACAS Scan(s) Policy,SSWCYBER-3140,104775,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,jcabral7,jcabral7,jcabral7,29/Jun/26 11:35 AM,19/Aug/26 2:06 PM,18/Sep/26 3:20 PM,19/Aug/26 2:06 PM,,PI 19,,,,,,B30 Lab,Environment Management,,,0,"Build out the following scan policy functions:

* STIG compliance scan for RHEL 8, RHEL 9 and switches scan NDM,L2S and etc
* STIG compliance for the known applications such as AAP,FIREFOX,IDM ETC
* System Compliance/Vulnerability scan for patch management
* Malware scan
* Any other policy/scan template you find useful.",,jcabral7,,,,"build out policy for patch, network and ping scans and run items to see funcitoanility.;17/Aug/26 11:11 AM;jcabral7;10800",";19/Aug/26 2:06 PM;jcabral7;21600",,,,,,86400,54000,32400,37%,86400,54000,32400,,SSWCYBER-3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,SSWCYBER-3135,,,In Progress,,,,,,Kanban,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0a0zw:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Review Vulnerability Report,SSWCYBER-3139,104774,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,jcabral7,jcabral7,jcabral7,29/Jun/26 11:32 AM,28/Aug/26 1:39 PM,18/Sep/26 3:20 PM,28/Aug/26 1:39 PM,,PI 19,,,,,,B30 Lab,Environment Management,,,0,"Once you have a completed report (whichever template you decide with) create tickets to remediate the most critical vulnerabilities that need to be remediated this can be STIGs, patch management work or general system config issues that are not tracked in a STIG scan. Please note this ticket is not to go out an remediate vulnerabilities, just to purely track and document for the team.",,jcabral7,,,,"List compliled, work projected;28/Aug/26 1:39 PM;jcabral7;10800",,,,,,,14400,3600,10800,75%,14400,3600,10800,,SSWCYBER-3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcabral7,,,,,SSWCYBER-3135,,,In Progress,,,,,,Kanban,,,,,"Posted on: Fri Aug 28 13:39:28 EDT 2026
List compliled, work projected",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0a0zo:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"28/Aug/26 1:39 PM;jcabral7;List compliled, work projected;;;",,,,,
Prototype Credential Scan,SSWCYBER-3138,104773,Task,In Progress,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Low,,ahoxha,jcabral7,jcabral7,29/Jun/26 11:28 AM,12/Aug/26 6:56 AM,18/Sep/26 3:20 PM,,,PI 19,,,,,,B30 Lab,Environment Management,,,0,"Prototype credential scan by doing the following

* Create a policy, by using one of the templates Tenable provides for example STIG benchmark policy/compliance scan
* Provide credentials for the scanner to use (apply service account key)
* Run report and verifiy report reaches all hosts, i usually give it a IP range of all the Servers like 10.22.64.1 - 10.22.64.255 etc. Id run two scans one for CWS IPs 192.168.x.x and IDM ip range of 10.x.x.x",,jcabral7,,,,,,,,,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahoxha,,,,,SSWCYBER-3135,,,In Progress,,,,,,Kanban,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0a0zg:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
ACAS familiarity ,SSWCYBER-3137,104772,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,ahoxha,jcabral7,jcabral7,29/Jun/26 11:22 AM,20/Jul/26 12:44 PM,18/Sep/26 3:20 PM,30/Jun/26 7:52 AM,,PI 19,,,,,,Environment Management,,,,0,"Get familiar with the ACAS dashboard, check out all features with the tool to have a fundamental operator use of the tool. ",,jcabral7,,,,";29/Jun/26 2:30 PM;ahoxha;7200",";30/Jun/26 7:52 AM;ahoxha;14400",,,,,,14400,0,21600,150%,14400,0,21600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahoxha,,,,,SSWCYBER-3135,,,In Progress,,,,,,Kanban,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0a0z8:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
