Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Original),Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Deadline),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original Need Date),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment
TCAP T9 Ops Components (without animation area),SSWGUI-140,101261,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,jziobron,jziobron,06/May/26 11:43 AM,10/Sep/26 3:51 PM,18/Sep/26 3:22 PM,,,,TCAP GUI 1.0.0-rc,,,,,,TCS,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,jziobron,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-5,,TCAP T9 Ops Components (without animation area),To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-397,,,,,,,,,,,,,,"1|i09aju:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,11/Jul/28 12:00 AM,03/Feb/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
ESTAP GUI Servo Sub Mode Components,SSWGUI-139,101260,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,jziobron,jziobron,06/May/26 11:43 AM,10/Sep/26 4:11 PM,18/Sep/26 3:22 PM,,,,ESTAP GUI 1.0.0-rc,FST,,,,,EST,,,,0,"{+}*Summary*{+}:
Modifications need to be made to the servo sub-mode to create an optimal operator experience. Based on feedback, a few modifications need to be made. One is to make controls to prevent the live slewing of the commands in servo sub-mode.
* Do not allow the operator from biasing the Servo Sub mode in one direction, and immediately swap to the complete opposite direction
Create a mode for configurable servo commands
* The baseline should be a mode where the operator can just command the servo to reel-in or pay-out so that cable loading operations can occur
** A test mode for the actual servo valve belongs under a different screen, under a different set of rules
** Look into providing sinusoidal wave commands to the servo valve (not sure if this is possible)

*NOTE: DO MONITOR DISPLAY BEFORE TOUCHSCREEN*

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  Operator awareness
 *** The operator needs to be able to look at the GUI (whether quickly or focused) and rapidly intake information that is presented in the most efficient way possible. The design needs to be inuitive for an operator. 
 ** Configurability
 *** Operators may need to change the layout of the screen to better match the current situation
 * {*}How does this fit into the larger project{*}:
 **  All pages of the GUI must be optimized for the requirements of the intended functionality. By incorporating engineering and ex-operator feedback this project can better align the GUI to the needs of the future operators.
 ** FST

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 ** Create/Update design for the touchscreen
 ** Create/Update design for the monitor screen
 ** Implement updates for each screen in software
 ** Update requirements
 
 * {*}Key Components/Docs/Specs{*}:
 ** Link to Non SSW SDDs and SRSs <\\us-ct-eb01\EBDepts\Eng.454\PROJECTS\Virginia_SSW\5_Team_Working_Area\G_Oneill\Non_SSW_Documents>
 ** Link to Engineering GUI Spec - exists in doors.
 ** Link to Engineering GUI Spec reference docs <\\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\Systems Engineering\Specifications\Engineering GUI SPEC\Reference Documents>
 ** Link to GMDS style guide - <X:\Eng.440\Projects-VA\VA SSW\CWS Working Group\SSW HMI GUI>
 ** Link to updated CONOPS *TBD*
 ** *REFER TO THIS - ""\\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\CWS Working Group\SSW HMI GUI\Gate Reviews\25% Gate Review\Day 1 Combine Read Ahead Slides\SSN 812 25% GUI Gate Review_Day1_Combined Read-Aheads_with backups_small.pdf""*


",,jziobron,,,,,,,,,0,,,,0,,,,,,,,,,,SSWSYS-3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,ESTAP GUI Servo Sub Mode Components,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-397,,,,,,,,,,,,,,"1|i09ajr:5",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,07/May/27 12:00 AM,30/Nov/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
ESTAP GUI Automatic Mode Components,SSWGUI-138,101259,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,jziobron,jziobron,06/May/26 11:43 AM,10/Sep/26 4:11 PM,18/Sep/26 3:22 PM,,,,ESTAP GUI 1.0.0-rc,FST,,,,,EST,,,,0,"{+}*Summary*{+}:
Modifications need to be made to the automatic sub-mode to create an optimal operator experience. To improve configurability for the operator an option to have a user save a desired position to their profile will enable the tray to automatically command the tray to a destination position the operator finds to be useful. Secondly a small modification will be made to the package configuration to show the centerline of the Tube 10 ROV to enable a birds-eye view of the tray package. Additionally the operator will be able to rename and define package positions. Finally, some kind of Estimated Time of Arrival of automatic moves will be added somewhere on the GUI for operator awareness.

*NOTE: DO MONITOR DISPLAY BEFORE TOUCHSCREEN*

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  Operator awareness
 *** The operator needs to be able to look at the GUI (whether quickly or focused) and rapidly intake information that is presented in the most efficient way possible. The design needs to be intuitive for an operator. 
 ** Configurability
 *** Operators may need to change the layout of the screen to better match reality
 * {*}How does this fit into the larger project{*}:
 **  All pages of the GUI must be optimized for the requirements of the intended functionality. By incorporating engineering and ex-operator feedback this project can better align the GUI to the needs of the future operators.
 ** FST

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 ** Create/Update design for the touchscreen
 ** Create/Update design for the monitor screen
 ** Implement updates for each screen in software
 ** Update requirements
 
 * {*}Key Components/Docs/Specs{*}:
 ** Link to Non SSW SDDs and SRSs <\\us-ct-eb01\EBDepts\Eng.454\PROJECTS\Virginia_SSW\5_Team_Working_Area\G_Oneill\Non_SSW_Documents>
 ** Link to Engineering GUI Spec - exists in doors.
 ** Link to Engineering GUI Spec reference docs <\\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\Systems Engineering\Specifications\Engineering GUI SPEC\Reference Documents>
 ** Link to GMDS style guide - <X:\Eng.440\Projects-VA\VA SSW\CWS Working Group\SSW HMI GUI>
 ** Link to updated CONOPS *TBD*
 ** *REFER TO THIS - ""\\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\CWS Working Group\SSW HMI GUI\Gate Reviews\25% Gate Review\Day 1 Combine Read Ahead Slides\SSN 812 25% GUI Gate Review_Day1_Combined Read-Aheads_with backups_small.pdf""*


",,jziobron,,,,,,,,,0,,,,0,,,,,,,,,,,SSWSYS-3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-13,,ESTAP GUI Automatic Mode Components,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-397,,,,,,,,,,,,,,"1|i09ajr:6i",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,22/Jul/27 12:00 AM,23/Apr/27 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Define and Create Common Calibration Workflow,SSWGUI-112,101231,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,cmcverry,cmcverry,cmcverry,06/May/26 10:57 AM,10/Sep/26 3:45 PM,18/Sep/26 3:22 PM,,,,ESTAP GUI 1.0.0-rc,FST,TCAP GUI 1.0.0-rc,,,,Common,,,,0,"As an operator ,

I want/need the front-end design of the tabs for the groups for calibration controls to be visually and behaviorally consistent across the different SSW subsystem GUIS,

so that overall mental load is reduced and I can readily understand how the calibration controls work across different GUIs.

{*}+Description+{*}:
 * Design, implement, unit and acceptance test the common Tabs Calibration Component.
 * Finalize and write corresponding ESTAP GUI SRS and TCAP GUI SRS requirements.

{+}*Acceptance Criteria*{+}:

GIVEN the Common Tabs Calibration Component is implemented,

WHEN an operator interacts with the component,

THEN they will be able to freely switch between calibration component tabs and interact with calibration buttons.

{+}*UI/UX Notes*{+}:
 * The component needs to be designed with parameters that allow for practically any number of calibration control groups (tabs) and controls to populate the rendered component.

{+}*Technical Notes*{+}:
 * Dependent on the Common Pop-up Confirmation Component

 ",,cmcverry,,,,,,,,0,0,,0%,0,0,,,SSWGUI-109,,,,,,,,SSWGUI-111,SSWGUI-110,,,,,,,,,,,,,,,"14/May/26 3:48 PM;amessier;calibration main menu.PNG;https://192.168.3.34/jira1/secure/attachment/20765/calibration+main+menu.PNG","14/May/26 3:50 PM;amessier;calibration pop up.PNG;https://192.168.3.34/jira1/secure/attachment/20766/calibration+pop+up.PNG",,,,,,,,,,,,,,,,,,,,,,,SSWGUI-101,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09ix4:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,17/Aug/27 12:00 AM,07/Jul/27 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
TCAP Calibration Page,SSWGUI-111,101230,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,cmcverry,cmcverry,cmcverry,06/May/26 10:55 AM,10/Sep/26 3:46 PM,18/Sep/26 3:22 PM,,,,FST,TCAP GUI 1.0.0-rc,,,,,TCS,,,,0,"As an operator,

I want/need a central page on the TCAP GUI for ordering calibration of sensors,

so that while running the GUI on the tactical system I can adjust calibration values to support SSW operations.

{*}+Description+{*}:
 * Design, implement, unit and acceptance test the TCAP GUI's calibration page.
 * Finalize and write corresponding TCAP GUI SRS requirements.

{+}*Acceptance Criteria*{+}:

GIVEN the TCAP calibration page is implemented,

WHEN I attempt to navigate to the TCAP calibration page,

THEN the GUI successfully renders the page with a layout based on the front-end design.

{+}*UI/UX Notes*{+}:
 * N/A

{+}*Technical Notes*{+}:
 * 
 ** Dependent on the GUI common components for the confirmation pop-up and the calibration tabs being implemented.

 

 ",,cmcverry,,,,,,,,0,0,,0%,0,0,,,SSWGUI-109,SSWGUI-112,,,,,,,,,,,,,,,,,,,,,,,"18/May/26 12:06 PM;amessier;Ambient Pressure.PNG;https://192.168.3.34/jira1/secure/attachment/20792/Ambient+Pressure.PNG","18/May/26 12:05 PM;amessier;calibration main menu.PNG;https://192.168.3.34/jira1/secure/attachment/20790/calibration+main+menu.PNG","18/May/26 12:05 PM;amessier;calibration pop up.PNG;https://192.168.3.34/jira1/secure/attachment/20791/calibration+pop+up.PNG","18/May/26 12:06 PM;amessier;Tube 10 config.PNG;https://192.168.3.34/jira1/secure/attachment/20796/Tube+10+config.PNG","18/May/26 12:06 PM;amessier;Tube 9 config.PNG;https://192.168.3.34/jira1/secure/attachment/20793/Tube+9+config.PNG","18/May/26 12:06 PM;amessier;Tube 9 LPT.PNG;https://192.168.3.34/jira1/secure/attachment/20794/Tube+9+LPT.PNG","18/May/26 12:06 PM;amessier;tube 9 SAPTs.PNG;https://192.168.3.34/jira1/secure/attachment/20795/tube+9+SAPTs.PNG",,,,,,,,,,,,,,,,,,SSWGUI-101,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09iww:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,28/Sep/27 12:00 AM,08/Sep/27 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
ESTAP Calibration Page,SSWGUI-110,101229,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,cmcverry,cmcverry,cmcverry,06/May/26 10:54 AM,10/Sep/26 3:45 PM,18/Sep/26 3:22 PM,,,,ESTAP GUI 1.0.0-rc,FST,,,,,EST,,,,0,"As an operator,

I want/need a central page on the ESTAP GUI for ordering calibration of sensors,

so that while running the GUI on the tactical system I can adjust calibration values to support SSW operations.

{*}+Description+{*}:
 * Design, implement, unit and acceptance test the ESTAP GUI's calibration page.
 * Finalize and write corresponding ESTAP GUI SRS requirements.

{+}*Acceptance Criteria*{+}:

GIVEN the ESTAP calibration page is implemented,

WHEN I attempt to navigate to the ESTAP calibration page,

THEN the GUI successfully renders the page with a layout based on the front-end design.

{+}*UI/UX Notes*{+}:
 * N/A

{+}*Technical Notes*{+}:
 * Dependent on the GUI common components for the confirmation pop-up and the calibration tabs being implemented.

 

 ",,cmcverry,,,,,,,,0,0,,0%,0,0,,,SSWGUI-109,SSWGUI-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-101,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09iwo:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,07/Sep/27 12:00 AM,18/Aug/27 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
OBE,SSWGUI-109,101228,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,cmcverry,cmcverry,cmcverry,06/May/26 10:53 AM,13/May/26 8:55 AM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As an operator,

I want/need a confirmation pop-up to be rendered when I issue a calibration order,

so that I do not unintentionally order calibration for a control system sensor.

{*}+Description+{*}:
 * Design, implement, unit and acceptance test a common pop-up confirmation component that will be rendered whenever the operator interacts with a calibration button on the calibration component/page.

{+}*Acceptance Criteria*{+}:

GIVEN the confirmation pop-up is implemented,

WHEN I input a calibration value and order calibration of a control system component,

THEN a confirmation pop-up is rendered that requires my input to confirm my intention.

{+}*UI/UX Notes*{+}:
 * Pop-up and internal button styling should be consistent with the GDMS style guide, HMI Spec, etc.
 * The operator MUST interact with the pop-up confirmation before continuing with system operations.

{+}*Technical Notes*{+}:
 * Pop-up component should be implemented to be generic such that it can be used in any SSW subsystem GUI.

 

 ",,cmcverry,,,,,,,,,0,,,,0,,,,,,,,,,,SSWGUI-110,SSWGUI-111,SSWGUI-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09iwg:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Write TCAP GUI SRS Requirements,SSWGUI-104,101222,Story,Done,SSWGUI,SSWGUI,software,kbassi,,,Medium,Done,schatter,schatter,schatter,06/May/26 10:40 AM,30/Jun/26 4:46 PM,18/Sep/26 3:22 PM,30/Jun/26 4:46 PM,,,FST,PI 19,TCAP GUI 1.0.0-rc,TCAP GUI SRS CDR Release,,,,,,,0,"* {+}*Summary*{+}:

We have finally gotten the go ahead to make a separate GUI SRS for each tactical GUI. We need to start creating GUI SRSs. 

{+}*Project Impact*{+}:

 ** {*}What problem does this solve{*}:
 *** This creates the GUI SRSs which is what drives development work.
 ** {*}How does this fit into the larger project{*}:
 *** The SRSs define the requirements for the GUIs. 
 *** The development of SRSs will also ensure that the software fulfills system needs.
{+}*Implementation Overview*{+}:

 ** {*}High Level Overview{*}:
 *** A base SRS will be created for each tactical GUI.
 ** {*}Key Components/Docs/Specs{*}:
 *** TCAP GUI SRS
TCS SSS
 ** *Dependencies:*
 ** 
 *** DOORs project being created
+*Completion Criteria:*+

Outputs

 ** An updated TCAP GUI SRS
Specs

 ** The SRS is free of spelling and grammatical errors.
 ** The SRS has no errors exporting from DOORs.
 ** The SRS has links to all SSS requirements.
 ** The SRS has requirements for all software relevant requirements in the SSS.",,schatter,,,,,,,,0,0,,0%,0,0,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESTAP GUI SRS has been added to DOORS
All section headers exist in DOORS
SRS has been populated with front matter
Document has been reviewed and approved",,,,,,,,schatter,,,,,SSWGUI-95,,,Done,,,,,,,,,,"Posted on: Tue Jun 30 08:56:06 EDT 2026
Document added to DOORS and populated with section headers and front matter.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09iv4:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,30/Jun/26 12:00 AM,15/Jun/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"30/Jun/26 8:56 AM;schatter;Document added to DOORS and populated with section headers and front matter.;;;",,,
Write ESTAP GUI SRS Requirements,SSWGUI-103,101221,Story,Done,SSWGUI,SSWGUI,software,kbassi,,,Medium,Done,schatter,schatter,schatter,06/May/26 10:39 AM,30/Jun/26 4:46 PM,18/Sep/26 3:22 PM,30/Jun/26 4:46 PM,,,ESTAP GUI 1.0.0-rc,ESTAP GUI SRS CDR Release,FST,PI 19,,,EST,,,,0,"{+}*Summary*{+}:

We have finally gotten the go ahead to make a separate GUI SRS for each tactical GUI. We need to start creating GUI SRSs. 

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 ** This creates the GUI SRSs which is what drives development work.
 * {*}How does this fit into the larger project{*}:
 ** The SRSs define the requirements for the GUIs. 
 ** The development of SRSs will also ensure that the software fulfills system needs.

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 ** A base SRS will be created for the tactical GUI.
 * {*}Key Components/Docs/Specs{*}:
 ** ESTAP GUI SRS
 ** EST SSS
 * *Dependencies:*

 * 
 ** DOORs project being created

+*Completion Criteria:*+

Outputs
 * An updated ESTAP GUI SRS 

Specs
 * The SRS is free of spelling and grammatical errors.
 * The SRS has no errors exporting from DOORs.
 * The SRS has links to all SSS requirements.
 * The SRS has requirements for all software relevant requirements in the SSS.",,kbassi,schatter,,,,,,,0,0,,0%,0,0,46800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESTAP GUI SRS has been added to DOORS
All section headers exist in DOORS
SRS has been populated with front matter
Document has been reviewed and approved",,,,,,,,schatter,,,,,SSWGUI-95,,,Done,,,,,,,,,,"Posted on: Tue Jun 30 08:55:59 EDT 2026
Document added to DOORS and populated with section headers and front matter",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i09iuw:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,14/Jun/26 12:00 AM,31/May/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"26/Jun/26 6:43 PM;kbassi;I created a Default Dev Work View in Doors for ESTGUI if that helps. 
||ESTGUI||Comment||
|24|I have been told I need to have exactly what was written in the RTR-IRS document for this line. I suggest handling the TBD by adding the document to the references section. I would add it in place of 2.2.1b|
|28|Spell out MES first instance |
|25|Idk if doing spell out of ESTAP GUI and then saying (ESTAP GUI) means you get both ESTAP defined and GUI defined. IDK how to explain.  Basically i think you need to define the acroynym separately for estap and gui |
|12|You need to spell out an acronym the first time before using it everywhere. So gRPC Remote Procedure Call (gRPC)|
|31|They made the doors id ESTGUI instead of ESTAPGUI. Please update|
|11 and 12 |1.2.1 System Overview
1.2.1.1 ESTAP GUI Components 
1.2.1.1.1 ESTAP gRPC Interface
The above is the desired structure. Unless I am tripping
 |
|General |All object types are not text. Please update|
|General|Section 5 and 6 are missing. Please add.|
|General|All defined acronyms need to go to Table 6.1 |;;;","26/Jun/26 6:59 PM;kbassi;Also the DOORS ID for TCAP will be TCSGUI_ and not CPA_. I will ask for it to be fixed. ;;;","29/Jun/26 2:04 PM;schatter;Comments resolved;;;","30/Jun/26 8:55 AM;schatter;Document added to DOORS and populated with section headers and front matter;;;"
Overrides Components,SSWGUI-102,101220,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,schatter,kbassi,kbassi,06/May/26 10:39 AM,15/Sep/26 12:10 PM,18/Sep/26 3:22 PM,,,,FST,,,,,,EST,TCS,,,0,"Summary:

The purpose of this milestone is to document the design, implement and test the Overrides unit of ESTAP, and TCAP GUIs.

Each page that is displayed will be considered a unit. We will need sub-unit pages to capture specific/key variations of a given unit page. Should be re-evaluated before tasks are added into the PI.

*Project Impact:*
What Problem Does this Solve
 * Design documentation for common code used in the TCAP and ESTAP GUIs CSCI.
 * Provides clarity for safety teams, stakeholders and developers
 * Work towards engineering and tactical GUI development. 

How does this fit into the larger project
 * This documentation will be included in the TCAP and ESTAP GUIs SDD. 
 * This enables us to start developing our engineering GUIs. 

Implementation Overview:
High Level Overview
 * The design page will document the design of the common Overrides Page.
 * Pop up when leaving page if not confirmed/cancelled

Key Components/Docs
 * Link to Non SSW SDDs and SRSs <\\us-ct-eb01\EBDepts\Eng.454\PROJECTS\Virginia_SSW\5_Team_Working_Area\G_Oneill\Non_SSW_Documents>
 * Link to Engineering GUI Spec - exists in doors.
 * Link to Engineering GUI Spec reference docs <\\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\Systems Engineering\Specifications\Engineering GUI SPEC\Reference Documents>
 * Link to GMDS style guide - <X:\Eng.440\Projects-VA\VA SSW\CWS Working Group\SSW HMI GUI>
 * Link to updated CONOPS *TBD*
 * *REFER TO THIS - ""\\us-ct-eb01\EBDepts\Eng.440\Projects-VA\VA SSW\CWS Working Group\SSW HMI GUI\Gate Reviews\25% Gate Review\Day 1 Combine Read Ahead Slides\SSN 812 25% GUI Gate Review_Day1_Combined Read-Aheads_with backups_small.pdf""*

*Risks/Considerations/Dependencies*
 * Lack of Developer Knowledge of GUI design and structure
 * Lack of Understanding on how to design / organize GUI design pages.

*Completion Criteria:*

Specs
 * Created using the approved [Design Page Guidelines|https://192.168.3.34/cnfl1/display/DS/Design+Doc+Guidelines]
 ** Examples of completed design pages in include [Card I/O Manager Design Page|https://192.168.3.34/cnfl1/pages/viewpage.action?pageId=106300846] and [PM/FL Design Page|https://192.168.3.34/cnfl1/pages/viewpage.action?pageId=106303616]  

 * EACH NOT -MAIN PG is it's own Design page!!

Output 
 * Overrides Page Exists 
 * All custom components defined in High level overview are created are created. Tested with unit and functional tests.",,kbassi,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,SSWSYS-3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Overrides Components,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-397,,,,,,,,,,,,,,"1|i09ajr:c",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,06/Sep/27 12:00 AM,01/May/27 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
